  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
125660 99999 201701031300 240  16 ***  20 *** * * *  4.4 85 ** ** ** ** ** ** ** 8   30   28 1017.5 29.97 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701031330 230  20 ***  16 *** * * *  5.6 85 ** ** ** ** ** ** ** *   30   27 ****** 29.97 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701031400 240  18 ***  15 OVC * * *  6.2 85 ** ** ** ** ** ** ** 8   31   28 1017.0 *****  986.7 *** *** ***** ***** ***** ***** ** 
125660 99999 201701031430 240  20 ***  13 *** * * *  3.8 85 ** ** ** ** ** ** ** *   30   28 ****** 29.97 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701031500 240  17 ***  12 *** * * *  2.5 73 71 ** ** ** ** ** ** 8   30   29 1016.6 29.94 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701031530 240  17 ***  15 *** * * *  3.1 73 10 ** ** ** ** ** ** *   30   28 ****** 29.94 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701031600 240  18 ***  15 OVC * * *  3.1 73 ** ** ** ** ** ** ** 7   31   30 1016.3 *****  986.0 *** *** ***** ***** ***** ***** ** 
125660 99999 201701031630 230  16 ***  13 *** * * *  3.8 73 ** ** ** ** ** ** ** *   32   28 ****** 29.94 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701031700 240  18 ***  12 OVC * * *  5.0 71 ** ** ** ** ** ** ** 7   32   29 1015.4 *****  985.2 *** *** ***** ***** ***** ***** ** 
125660 99999 201701031730 240  20 ***  20 *** * * *  6.2 ** ** ** ** ** ** ** ** *   32   28 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701031800 240  20 ***  30 BKN * * * 12.5 22 ** ** ** ** ** ** ** 8   33   29 1014.6 *****  984.5  33  23 ***** ***** *****  0.03 ** 
125660 99999 201701031830 230  21 ***  30 *** * * *  6.2 ** ** ** ** ** ** ** ** *   34   28 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701031900 240  22 *** *** BKN * * * 12.5 ** ** ** ** ** ** ** ** *   33   27 1013.7 *****  983.6 *** *** ***** ***** ***** ***** ** 
125660 99999 201701031930 230  25 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   34   27 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701032000 240  26  38  26 BKN * * *  6.2 71 ** ** ** ** ** ** ** 2   34   29 1012.9 *****  982.9 *** *** ***** ***** ***** ***** ** 
125660 99999 201701032030 240  24 ***  40 *** * * *  6.2 71 36 ** ** ** ** ** ** *   34   28 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701032100 230  22 ***  20 BKN * * *  6.2 71 ** ** ** ** ** ** ** 2   33   28 1012.2 *****  982.2 *** *** ***** ***** ***** ***** ** 
125660 99999 201701032130 230  20 ***  20 *** * * *  6.2 71 36 ** ** ** ** ** ** *   34   28 ****** 29.83 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701032200 230  22  36  20 BKN * * *  3.8 73 ** ** ** ** ** ** ** 7   33   29 1011.1 *****  981.1 *** *** ***** ***** ***** ***** ** 
125660 99999 201701032230 230  23 ***  20 *** * * *  6.2 71 36 ** ** ** ** ** ** *   34   28 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701032300 220  20 ***  20 BKN * * *  6.2 22 ** ** ** ** ** ** ** 7   34   29 1009.3 *****  979.4 *** *** ***** ***** ***** ***** ** 
125660 99999 201701032330 210  17 ***  20 *** * * *  6.2 ** ** ** ** ** ** ** ** *   34   27 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701040000 210  18  38  20 BKN * * *  6.2 71 ** ** ** ** ** ** ** 7   33   28 1008.0 *****  978.1 *** *** *****  0.00 ***** ***** ** 
125660 99999 201701040030 210  16 ***  23 *** * * *  6.2 71 ** ** ** ** ** ** ** *   32   28 ****** 29.68 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701040100 220  16 ***  25 BKN * * *  6.2 71 ** ** ** ** ** ** ** 7   32   28 1006.7 *****  976.8 *** *** ***** ***** ***** ***** ** 
125660 99999 201701040130 230  25 ***  23 *** * * *  6.2 71 ** ** ** ** ** ** ** *   34   27 ****** 29.65 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701040200 230  20  34  15 *** * * *  6.2 71 ** ** ** ** ** ** ** 7   33   27 1005.4 *****  975.6 *** *** ***** ***** ***** ***** ** 
